Area,Perimeter,Major axis length,Minor axis length,Aspect ratio,Eccentricity,Convex area,Equivalent diameter,Class
34879,690,236,188,1.25,0.6,35298,211,SEKER
34879,675,224,199,1.13,0.46,35258,211,SEKER
34882,680,235,190,1.24,0.59,35219,211,SEKER
34883,673,232,191,1.21,0.57,35182,211,SEKER
34895,678,225,197,1.14,0.48,35227,211,SEKER
34911,677,235,189,1.24,0.59,35252,211,SEKER
34911,670,232,191,1.21,0.57,35204,211,SEKER
34912,676,230,193,1.19,0.54,35245,211,SEKER
34924,817,258,182,1.42,0.71,37992,211,SEKER
34934,688,230,194,1.19,0.54,35445,211,SEKER
34936,683,232,192,1.21,0.56,35353,211,SEKER
34945,675,235,190,1.24,0.59,35231,211,SEKER
34958,672,231,193,1.2,0.55,35254,211,SEKER
34960,681,238,188,1.26,0.61,35342,211,SEKER
34968,673,238,187,1.27,0.62,35218,211,SEKER
34968,750,243,184,1.32,0.65,35858,211,SEKER
34971,673,235,190,1.24,0.59,35269,211,SEKER
34980,675,233,191,1.22,0.57,35276,211,SEKER
34995,680,237,188,1.26,0.61,35298,211,SEKER
35022,671,232,193,1.2,0.56,35293,211,SEKER
35031,676,232,193,1.21,0.56,35369,211,SEKER
35042,677,226,198,1.14,0.48,35380,211,SEKER
35049,679,229,195,1.17,0.52,35349,211,SEKER
35059,672,230,194,1.18,0.54,35314,211,SEKER
35062,702,223,200,1.11,0.44,35579,211,SEKER
35066,675,229,195,1.17,0.52,35356,211,SEKER
35069,692,234,191,1.22,0.58,35563,211,SEKER
35081,678,235,191,1.23,0.58,35395,211,SEKER
35083,688,230,195,1.18,0.53,35513,211,SEKER
35083,686,228,196,1.16,0.51,35477,211,SEKER
35085,694,246,182,1.35,0.67,35658,211,SEKER
35087,678,237,188,1.26,0.61,35477,211,SEKER
35091,688,226,198,1.14,0.48,35466,211,SEKER
35091,686,233,193,1.21,0.56,35452,211,SEKER
35105,688,232,192,1.21,0.56,35508,211,SEKER
35106,689,231,194,1.19,0.55,35503,211,SEKER
35106,680,234,191,1.23,0.58,35445,211,SEKER
35122,680,232,193,1.2,0.55,35481,211,SEKER
35123,685,233,192,1.21,0.57,35457,211,SEKER
35128,670,228,196,1.17,0.51,35376,211,SEKER
35130,678,239,187,1.28,0.62,35473,211,SEKER
35131,684,235,191,1.23,0.58,35466,211,SEKER
35134,669,226,198,1.14,0.48,35360,212,SEKER
35145,681,244,184,1.33,0.66,35444,212,SEKER
35149,682,239,187,1.27,0.62,35509,212,SEKER
35162,673,230,195,1.18,0.53,35450,212,SEKER
35165,676,233,192,1.21,0.56,35463,212,SEKER
35175,707,227,198,1.15,0.49,35707,212,SEKER
35176,680,236,190,1.24,0.59,35499,212,SEKER
35208,679,232,193,1.2,0.55,35535,212,SEKER
35221,675,237,189,1.25,0.6,35484,212,SEKER
35223,674,231,194,1.19,0.54,35537,212,SEKER
35237,676,234,192,1.22,0.57,35502,212,SEKER
35246,683,240,187,1.28,0.63,35599,212,SEKER
35247,683,235,191,1.23,0.58,35605,212,SEKER
35254,687,225,200,1.13,0.46,35676,212,SEKER
35259,678,235,191,1.23,0.58,35577,212,SEKER
35272,683,232,194,1.2,0.55,35619,212,SEKER
35272,683,230,195,1.18,0.53,35637,212,SEKER
35277,677,239,189,1.26,0.61,35527,212,SEKER
35283,681,224,201,1.12,0.44,35589,212,SEKER
35287,678,224,201,1.11,0.44,35627,212,SEKER
35288,677,233,193,1.2,0.56,35608,212,SEKER
35300,686,238,189,1.26,0.61,35640,212,SEKER
35302,679,236,191,1.24,0.59,35644,212,SEKER
35304,686,235,192,1.22,0.57,35737,212,SEKER
35313,691,233,193,1.21,0.56,35743,212,SEKER
35316,683,238,189,1.26,0.61,35637,212,SEKER
35321,683,233,193,1.2,0.56,35670,212,SEKER
35330,683,235,192,1.22,0.57,35655,212,SEKER
35337,677,229,197,1.16,0.51,35671,212,SEKER
35338,681,227,198,1.15,0.49,35669,212,SEKER
35339,678,229,197,1.16,0.51,35667,212,SEKER
35344,695,234,192,1.22,0.57,35807,212,SEKER
35352,684,232,195,1.19,0.54,35760,212,SEKER
35354,688,235,192,1.23,0.58,35726,212,SEKER
35354,681,237,190,1.25,0.6,35666,212,SEKER
35364,683,222,203,1.1,0.41,35761,212,SEKER
35376,681,237,191,1.24,0.59,35693,212,SEKER
35377,688,238,189,1.26,0.6,35712,212,SEKER
35384,680,236,191,1.23,0.58,35698,212,SEKER
35402,682,231,195,1.18,0.53,35696,212,SEKER
35403,678,234,193,1.21,0.57,35713,212,SEKER
35408,684,242,187,1.3,0.64,35765,212,SEKER
35410,705,229,197,1.16,0.5,35997,212,SEKER
35412,675,228,198,1.15,0.5,35693,212,SEKER
35414,681,237,190,1.25,0.6,35729,212,SEKER
35432,681,234,193,1.21,0.56,35757,212,SEKER
35437,686,228,198,1.15,0.49,35804,212,SEKER
35438,678,233,194,1.2,0.56,35726,212,SEKER
35438,677,234,193,1.22,0.57,35725,212,SEKER
35442,699,237,191,1.24,0.59,36046,212,SEKER
35442,681,229,198,1.16,0.5,35791,212,SEKER
35450,681,236,192,1.23,0.58,35744,212,SEKER
35454,677,236,192,1.23,0.58,35744,212,SEKER
35467,684,227,199,1.14,0.48,35845,213,SEKER
35473,687,241,188,1.28,0.63,35874,213,SEKER
35481,679,238,190,1.25,0.6,35754,213,SEKER
35499,688,229,198,1.15,0.5,35887,213,SEKER
35507,682,239,189,1.27,0.61,35835,213,SEKER
35510,677,227,199,1.14,0.48,35799,213,SEKER
35511,702,224,204,1.1,0.41,36641,213,SEKER
35517,679,233,194,1.2,0.55,35881,213,SEKER
35532,676,231,196,1.18,0.53,35820,213,SEKER
35534,684,231,196,1.18,0.53,35921,213,SEKER
35539,691,247,184,1.34,0.67,35853,213,SEKER
35544,683,232,195,1.19,0.54,35949,213,SEKER
35555,697,238,190,1.25,0.6,36021,213,SEKER
35565,683,227,199,1.14,0.48,35922,213,SEKER
35589,688,235,193,1.22,0.57,35977,213,SEKER
35598,694,245,185,1.32,0.66,36045,213,SEKER
35602,688,241,189,1.28,0.62,35941,213,SEKER
35605,695,246,185,1.33,0.66,35968,213,SEKER
35608,689,240,189,1.27,0.62,35997,213,SEKER
35609,687,230,197,1.17,0.52,36002,213,SEKER
35610,678,234,194,1.21,0.56,35888,213,SEKER
35615,693,233,195,1.19,0.55,36004,213,SEKER
35634,686,235,193,1.22,0.57,36006,213,SEKER
35647,684,234,194,1.2,0.55,35993,213,SEKER
35647,680,236,192,1.23,0.58,35927,213,SEKER
35652,680,227,200,1.14,0.48,36002,213,SEKER
35672,691,241,188,1.28,0.63,36078,213,SEKER
35677,690,236,193,1.22,0.58,36120,213,SEKER
35680,686,231,197,1.17,0.52,35991,213,SEKER
35683,700,237,192,1.23,0.59,36188,213,SEKER
35684,678,238,191,1.24,0.59,35953,213,SEKER
35690,699,236,193,1.22,0.58,36122,213,SEKER
35690,691,238,191,1.25,0.6,36059,213,SEKER
35693,680,230,198,1.16,0.51,35997,213,SEKER
35699,694,237,192,1.23,0.58,36104,213,SEKER
35702,689,234,195,1.2,0.55,36067,213,SEKER
35703,685,236,193,1.22,0.57,36029,213,SEKER
35703,678,230,198,1.16,0.51,35987,213,SEKER
35704,684,241,189,1.28,0.62,35994,213,SEKER
35720,685,237,192,1.23,0.58,36074,213,SEKER
35720,686,241,189,1.27,0.62,36024,213,SEKER
35725,685,235,194,1.21,0.57,36053,213,SEKER
35730,698,242,188,1.29,0.63,36142,213,SEKER
35734,700,249,183,1.36,0.68,36085,213,SEKER
35735,684,235,193,1.22,0.57,36043,213,SEKER
35736,684,236,193,1.22,0.57,36088,213,SEKER
35738,684,238,192,1.24,0.59,36051,213,SEKER
35758,682,239,190,1.26,0.61,36049,213,SEKER
35762,691,237,193,1.23,0.58,36157,213,SEKER
35764,674,222,205,1.08,0.38,36032,213,SEKER
35772,693,246,186,1.32,0.65,36140,213,SEKER
35777,686,221,206,1.07,0.36,36174,213,SEKER
35781,688,240,190,1.27,0.61,36108,213,SEKER
35789,685,234,195,1.2,0.55,36146,213,SEKER
35795,695,250,183,1.37,0.68,36189,213,SEKER
35795,685,228,201,1.13,0.47,36124,213,SEKER
35804,684,237,193,1.23,0.58,36096,214,SEKER
35809,682,233,196,1.19,0.54,36094,214,SEKER
35822,692,235,194,1.21,0.56,36203,214,SEKER
35835,688,238,192,1.24,0.59,36190,214,SEKER
35838,690,236,194,1.21,0.57,36193,214,SEKER
35838,684,242,189,1.28,0.62,36131,214,SEKER
35842,680,232,197,1.18,0.53,36127,214,SEKER
35845,684,229,199,1.15,0.49,36169,214,SEKER
35853,679,231,198,1.17,0.52,36172,214,SEKER
35864,681,231,198,1.17,0.52,36158,214,SEKER
35872,684,233,197,1.18,0.53,36214,214,SEKER
35901,686,237,193,1.23,0.58,36225,214,SEKER
35901,685,238,192,1.24,0.59,36216,214,SEKER
35915,685,239,192,1.24,0.59,36222,214,SEKER
35923,685,230,199,1.16,0.5,36239,214,SEKER
35932,689,242,189,1.28,0.63,36273,214,SEKER
35954,710,252,182,1.38,0.69,36380,214,SEKER
35955,683,243,189,1.28,0.63,36232,214,SEKER
35955,694,254,181,1.4,0.7,36295,214,SEKER
35967,684,231,198,1.17,0.52,36223,214,SEKER
35969,705,222,207,1.07,0.37,36555,214,SEKER
35972,686,233,196,1.19,0.54,36336,214,SEKER
35975,685,235,195,1.21,0.56,36307,214,SEKER
35977,702,247,186,1.33,0.66,36371,214,SEKER
35978,688,244,188,1.29,0.63,36297,214,SEKER
35996,687,235,195,1.21,0.56,36312,214,SEKER
36000,691,222,207,1.07,0.36,36450,214,SEKER
36006,693,229,200,1.15,0.49,36489,214,SEKER
36013,692,251,183,1.38,0.69,36327,214,SEKER
36022,683,240,191,1.26,0.61,36323,214,SEKER
36029,689,239,193,1.24,0.59,36371,214,SEKER
36032,742,239,192,1.24,0.59,36713,214,SEKER
36036,681,236,195,1.21,0.57,36286,214,SEKER
36044,691,234,197,1.19,0.54,36384,214,SEKER
36059,692,237,194,1.22,0.58,36417,214,SEKER
36075,703,238,193,1.23,0.59,36522,214,SEKER
36076,694,244,189,1.29,0.63,36427,214,SEKER
36082,684,234,196,1.19,0.54,36409,214,SEKER
36085,690,237,194,1.22,0.58,36414,214,SEKER
36092,691,236,195,1.21,0.57,36433,214,SEKER
36100,682,237,194,1.22,0.57,36350,214,SEKER
36104,698,248,186,1.34,0.66,36456,214,SEKER
36105,713,248,186,1.33,0.66,36668,214,SEKER
36109,691,237,194,1.22,0.57,36461,214,SEKER
36109,708,235,196,1.2,0.55,36550,214,SEKER
36112,723,225,205,1.1,0.42,36709,214,SEKER
36115,688,228,202,1.13,0.47,36464,214,SEKER
36120,683,230,200,1.15,0.49,36437,214,SEKER
36120,683,226,204,1.11,0.43,36472,214,SEKER
36128,690,242,190,1.27,0.62,36465,214,SEKER
36136,711,235,196,1.2,0.55,36663,214,SEKER
36137,703,240,192,1.26,0.6,36540,215,SEKER
36140,693,237,195,1.21,0.57,36473,215,SEKER
36144,691,223,207,1.08,0.37,36563,215,SEKER
36147,710,242,191,1.27,0.61,36675,215,SEKER
36152,694,249,185,1.35,0.67,36582,215,SEKER
36154,680,235,196,1.2,0.55,36386,215,SEKER
36154,691,232,199,1.17,0.52,36497,215,SEKER
36156,687,239,193,1.24,0.59,36461,215,SEKER
36156,684,239,193,1.24,0.59,36404,215,SEKER
36166,684,239,193,1.23,0.59,36460,215,SEKER
36166,693,227,203,1.12,0.44,36553,215,SEKER
36169,686,238,193,1.23,0.59,36452,215,SEKER
36186,686,237,195,1.22,0.57,36484,215,SEKER
36210,690,236,195,1.21,0.56,36567,215,SEKER
36236,715,235,197,1.19,0.55,36704,215,SEKER
36244,701,238,195,1.22,0.57,36667,215,SEKER
36246,684,239,194,1.23,0.58,36557,215,SEKER
36253,699,231,201,1.15,0.49,36730,215,SEKER
36253,682,237,195,1.22,0.57,36493,215,SEKER
36257,690,222,208,1.06,0.34,36639,215,SEKER
36261,701,232,199,1.17,0.52,36685,215,SEKER
36265,684,241,192,1.26,0.6,36514,215,SEKER
36272,725,243,191,1.27,0.62,36736,215,SEKER
36278,690,247,188,1.31,0.65,36580,215,SEKER
36299,694,244,190,1.28,0.63,36649,215,SEKER
36301,714,232,200,1.16,0.5,36793,215,SEKER
36311,689,240,193,1.25,0.6,36606,215,SEKER
36325,691,246,188,1.31,0.64,36623,215,SEKER
36331,693,235,197,1.19,0.55,36684,215,SEKER
36336,686,238,194,1.22,0.58,36612,215,SEKER
36340,684,236,197,1.2,0.55,36609,215,SEKER
36343,698,243,191,1.27,0.62,36737,215,SEKER
36345,682,231,201,1.15,0.49,36613,215,SEKER
36349,687,227,205,1.11,0.43,36645,215,SEKER
36361,685,235,197,1.19,0.54,36669,215,SEKER
36365,690,239,194,1.23,0.59,36680,215,SEKER
36369,690,237,196,1.21,0.56,36716,215,SEKER
36373,690,244,190,1.29,0.63,36684,215,SEKER
36384,690,239,194,1.24,0.59,36749,215,SEKER
36393,682,234,198,1.18,0.53,36655,215,SEKER
36396,690,232,200,1.16,0.5,36785,215,SEKER
36405,692,237,196,1.21,0.56,36738,215,SEKER
36411,697,237,196,1.21,0.57,36825,215,SEKER
36421,687,239,194,1.23,0.58,36706,215,SEKER
36421,692,239,194,1.23,0.58,36776,215,SEKER
36426,696,242,192,1.26,0.61,36779,215,SEKER
36439,689,237,196,1.21,0.57,36736,215,SEKER
36443,704,230,202,1.13,0.47,36837,215,SEKER
36453,688,240,194,1.24,0.59,36717,215,SEKER
